Stock,Author,Title,AskingPrice,Notes,Active,Catalog #1,Catalog #2,Cost,Binding,BookType,Inscription,Publisher,Edition,Book Cond,Jckt Cond,ISBN,PubLoc,PubYr,PrivateComment,Amazon,Price,,,,,
1178,"Billingham, Mark",Buried,22.24,"UK Uncorrected proof, Little Brown 2006. VG condition, wear to edges, with single knock to spine edge. ",Y,1,,3.09,Trade Paperback,,Signed by Author,Little Brown,First Edition,VG,No Jacket,0316730505,UK,2006,,Y,22.2,,,,,
1279,"Billingham, Mark",Death Message,22.2,"UK Uncorrected proof. Little Brown 2007. Signed by author to title page. VG condition, light wear to edges and spine. Light marks to cover where sticker has been removed.",Y,1,,4.7,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,VG,No Jacket,9780316730525,UK,2007,,Y,22.2,,,,,
759,"Blackwood, Alan",Kingdom of the Blind,42.5,"UK Uncorrected Proof, Corgi 1998, VG. Light rubbing to edges & v light creasing to spine.",Y,1,,2.5,Trade Paperback,Proof,,Corgi,First Edition,VG,No Jacket,0552146455,UK,1998,,Y,42.24,,,,,
1499,"Blatty, William Peter",William Peter Blatty on the Exorcist,22.24,"US 1/1 PBO, Bantam June 1974. VG condition, page browning consistent with age, single strong crease to spine. Tight bind, original pictures are present and not loose. Interesting item on the evolution of the movie from the original screenplay. Scarce item",Y,1,,2,Mass Market Paperback,,,Bantam Press,First Edition,VG,No Jacket,n/a,USA,1974,,Y,22.24,,,,,
1616,"Bonansinga, Jay",The Killer's game,12.24,"UK 1/1 HB, Macmillan 1997. F/F condition. ",Y,1,,1,Hard Cover,,,Macmillan,First Edition,Nr Fine,Nr Fine,0333661214,UK,1997,,Y,12.24,,,,,
1617,"Bonansinga, Jay",Head case,12.24,"UK 1/1 HB, Macmillan 1998. Nr F/ Nr F condition",Y,1,,0.95,Hard Cover,,,Macmillan,First Edition,Nr Fine,Nr Fine,0333661222,UK,1998,,Y,12.24,,,,,
937,"Bourne, Sam",The Righteous Men,17.2,"UK 1/1HB, Harper Collins 2006. Signed by author Jonanthan Freedland as Sam Bourne to title page. VG/VG, wear to edges of DJ, small 1cm nick to rear of DJ, marks to boards of book. Priced accordingly.",Y,1,,1,Hard Cover,,,Harper Collins,First Edition,VG,VG,0007203284,UK,2006,,,,,,,,
1141,"Bourne, Sam",The Last Testament,27.24,"UK uncorrected proof, Harper 2007. Signed by Author to title page. Fine condition",Y,1,,2.49,Trade Paperback,Proof,Signed by Author,Harper Collins,First Edition,F,No Jacket,9780007203338,UK,2007,,Y,27.24,,,,,
550,"Brookmyre, Christopher",Quite ugly one morning,4.24,"UK 1st PB, Abacus 1997. VG.Light creasing to spine.",Y,1,,1.8,Trade Paperback,,,Abacus,First Paperback Edition,VG,No Jacket,349108854,UK,1997,,Y,4.24,,,,,
1015,"Brookmyre, Christopher",A tale etched in blood and hard black pencil,12.24,"UK 1/1HB, Little Brown 2006. Signed by author to title page. F/VG, light wear to DJ edges only. Gentle sticker mark to front cover.",Y,1,,1.99,Hard Cover,,,Little Brown,First Edition,F,VG,0316730106,UK,2006,,Y,7.2,,,,,
1156,"Brookmyre, Christopher",A tale etched in blood and hard black pencil,22.24,"UK Uncorrected Bound Proof , Little Brown 2006. Signed by author to title page. Nr Fine condition, minor edge wear only.",Y,1,,1.99,Trade Paperback,Proof,Signed by Author,Little Brown,First Edition,F,No Jacket,0316730106,UK,2006,,Y,22.24,,,,,
1169,"Brown, Dan",Deception Point,7.24,"UK 1/1 PBO, Corgi 2002. VG condition, light wear & faint spine creasing only. ",Y,1,,1.25,Mass Market Paperback,,,Corgi,First Edition,VG,No Jacket,0552149195,UK,2002,,Y,7.24,,,,,
